,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
GlobalTotal,1127.564348342,1227.074072446,1261.740304181,1239.274095079,1291.496732783,1257.951012754,2387.1873117989,2579.5283511966,2698.744749469,2786.0449430937,3068.7797121825,3293.3903254196,3891.2926415778,3980.8251971213,4138.6507117961,4313.4684229181,4498.6044601035,4444.9390495214,4493.828008756,4771.366616998,5166.2541154513,5417.3521064306,5630.7346591718,5838.115552748,6150.1557599582,6403.3418704149,8517.0548362692,8597.4814599762,8712.7756992369,8897.8829792388,9424.5572466159,9750.5330156515,10054.7984781619,4480.9,3067
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Albania,NA,NA,NA,NA,NA,NA,0.28,0.21,0.14,0.14,0.084,0.02538,0.02626,0.02158,0.01491,0.0139,0.01284,0.01172,0.00987,0.0080995945,0.0083721148,0.0402420384,0.0084085918,0.0083789425,0.0408992951,0.042021189,0.013501063,,,0.0083018466,0.0042014959,0.0077719562,0.0029997104,NA,NA
Algeria,NA,NA,NA,NA,NA,NA,115.17383,132.82332,137.86031,137.59558,179.2753,180.07202,175.66006,178.84719,174.86317,172.01835,179.57369,215.45294,235.41293196,266.6395401,304.152598503,311.331877584,320.119595759,312.691629364,291.957637158,297.883674312,276.375532175,289.575526988,291.241674111,281.019956258,258,252,235,NA,NA
American Samoa,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Angola,NA,NA,NA,NA,NA,NA,0.5124,0.51222,0.60646,0.54509,0.60917,0.57729,0.57601,0.60926,0.60871,0.61089,0.67081,1.16157,0.97021,0.9491296548,1.0019693224,1.0382521699,1.2943486247,1.3272499069,4.5335282169,4.8221715069,19.6010623123,21.4473430138,21.3837813699,19.6291390795,17,18,18,NA,NA
Antarctica,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Antigua and Barbuda,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Argentina,NA,NA,NA,NA,NA,NA,34.78188,47.46802,51.39359,51.03992,52.80825,56.39281,63.73355,64.23615,65.82899,73.16392,74.10205,72.38714,76.59924,82.7538752438,84.9433229508,117.91811941,112.87312376,134.07732109,143.20859257,138.73850237,145.601490942,139.437334112,136.65336844,137.046930356,130,113,128,NA,NA
Armenia,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,NA,NA
Aruba,NA,NA,NA,NA,NA,NA,,,,,0.0112,0.0103,0.00833,0.00833,,,,,,,0.3145027322,0.3153643836,0.3153643836,0.3153643836,0.3145027322,0.3144190575,0.3242567233,,,,,,,NA,NA
